id,username,text,keywords,date,location
1189658000295940096,secondarepubbl1,@sole24ore Trump in pieno controllo della Fed,['trump'],2019-10-30 21:39:04,
1189617882528997377,angelamontanar3,"Trump riconosce il genocidio armeno ma avalla lo sterminio dei kurdi! #TrumpTraitor #Recognizekurdistan #kurdistanlibero 
#ErdoganAssassin https://t.co/qFLtguFeW5",['trump'],2019-10-30 18:59:39,Pescara
1189444374389653504,remocontro_it,"(Ankara spara sulle truppe siriane, Congresso Usa spara alla Turchia (e a Trump) sul genocidio armeno) Remocontro - https://t.co/gPatwnqLte https://t.co/YSLoEWpFKu",['trump'],2019-10-30 07:30:12,
1189652080866349058,codeale,"Preti con la schiena dritta.
Sacerdoti che sanno che devono rispondere prima di tutto a Dio, non ai dogmi ""pastorali"" del #politicamentecorretto.

Chapeau, father...

#aborto #Biden

https://t.co/SbMvBCApiS",['biden'],2019-10-30 21:15:33,Reggio Emilia
1189459381940899840,FrigerioMaria,"@Calma_Piatta_ È un giochino studiato molto bene dal management, tra l’altro tutti giovanissimi ed ora miliardari,  che sapevano bene avrebbe fatto presa su tutte le debolezze umane.
Dove paperina67 fa la pornostar, e pisello66 scrive a Trump, convinti.",['trump'],2019-10-30 08:29:50,
1189460698839080960,AlienoGentile,"“La vita è troppo breve per avere nemici”
A. SENNA
“Perdona sempre i nemici. Nulla li fa arrabbiare di più”
O. WILDE
""Se vuoi dare dispiacere a un nemico, comportati con equilibrio e onestà, tratta chiunque in modo imparziale e giusto""
PLUTARCO
..
""E' morto come un cane""
D. TRUMP https://t.co/AEydd3og6M",['trump'],2019-10-30 08:35:04,"Italia, Europa, Pianeta Terra"
1189582879585685509,walteredicola,Colpa di trump https://t.co/fQOFrUKlkm,['trump'],2019-10-30 16:40:34,
1189611330589745152,bearbeer1111,@reversemtgfl @RobbieWilsdorf @Summer_Of62 @pipelinereview @ChienneLuv3 @really121212 @LuvGirlPower2 @MichaelAvenatti @DanSchultz2 @CreteHasHimNow @TexasTea18 @SCNorman1 @MAstoilet @realJRWatson @cautioncontent @ProspectWatch @LorinPhotograph @topsecretk9 @Risa62123359 @GaviPredescu @lynn521tr @ElinOlson8 @AlHolmes66 @LiberalBeGone @mdtakintexas @whoya @lvaccola @MFRJonez @my6girls2012 @Samepage79 @gigi030308 @rickrosa10 @kristinerockwe3 @BillyHumphreys1 @Sambo32166 @TalkerStr8 @5Ynks @DDBall4life @TrumpRisa @goforglam @Global_Barista_ @StateBarCA @TomArnold @TuckerCarlson @thedailybeast @FireyYank @realDonaldTrump @DailyCaller @Nike to Avenatti...,['trump'],2019-10-30 18:33:37,
1189566822607134720,ferroice40,"Maurizio Molinari, la rivelazione a L'aria che tira: ""Perché Giuseppe Conte è accerchiato da due Donald Trump"" https://t.co/4BqW88fGkO",['trump'],2019-10-30 15:36:46,
1189554574006345728,graziano88,@TristeMietitore Che è la soluzione che Trump medita contro le scottature fin da quando sua madre gli spalmava forzatamente la crema sulla schiena in spiaggia,['trump'],2019-10-30 14:48:05,Torino
1189437372661981184,Everyeye,La guerra di Trump alle auto elettriche costerà miliardi ai consumatori https://t.co/8gyZGVwHRy https://t.co/HTWs3xJhFe,['trump'],2019-10-30 07:02:22,Italia
1189681948131831809,rich_howley,"@RudyGiuliani @realDonaldTrump Sei pieno di merda, e sei un bugiardo. Rudy!",['trump'],2019-10-30 23:14:14,United States
1189462197270994944,carlobonini,"#Ukrainegate #Russiagate #WhiteHouse #impeachment @a_stille e il Trump bambino che, cacciati gli adulti, è ora un Presidente senza freni | Rep https://t.co/1XyDCjlQfJ @repubblica",['trump'],2019-10-30 08:41:01,Roma
1189446584049766400,gian_antone,"@realDonaldTrump Grande k9
Il mondo civile ti ringrazia👏👏👏👏👏👏👏👏👏
#ISIS 
#alBaghdadi 
#USA",['trump'],2019-10-30 07:38:59,"Toscana, Italia"
1189656225006440451,RomeiAntonella,"@GioChirilly @ienapriski Ma dove vi informate, a casa Salvini immagino.
Le balle sparate dal cazzaro arrivano a segno GRAZIE ai siti fake e allo stratega di Trump
 https://t.co/G5UEHvEMqE",['trump'],2019-10-30 21:32:01,
1189622980428599297,liberadidonna1,@BlobRai3 #albaghdead altre guerre....... Che differenza l'America ci ha rimesso.... Prrrrrrrrr #Trump doppio prrrrrrrrrrrrrrrrr,['trump'],2019-10-30 19:19:55,
1189340846858084353,sneerbear,"@GiovanniFanfoni @IlhanMN @RashidaTlaib @realDonaldTrump https://t.co/7HUfmSdJWQ come non detto, oggi ha fatto malissimo. Votato no alle sanzioni alla Turchia e astenuta sul genocidio armeno con motivazioni allucinanti.",['trump'],2019-10-30 00:38:49,
1189629765185167360,MauroAstete,@glorianaveillan @Elias_Parada_S @melnicksergio @carreragonzalo @ChileBasta @tere_marinovic @israelzipper @realDonaldTrump @jairbolsonaro Ilusa,['trump'],2019-10-30 19:46:52,Concepción -Chile 
